,Images,Euclidean Distance,Cityblock Distance,Infinity Distance,Cosine Similarity,Pearson Correlation Coefficient,Chi-Square Dissimilarity,Kullback-Liebler Divergence,Jeffrey Divergence,Kolmogorov- Smirnov Divergence,Cramer – Von Mises Divergence,Earth Movers Distance
0,300.jpg,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,301.jpg,13680084,3181.158908322563,255,0.22736535198488705,0.17531113410755306,185024.23028931496,3355840.2052962817,2189993.9608797873,2484519927696.0,1.8549954478530476e+16,-28296051960.0
2,302.jpg,13472553,3158.0394234398022,255,0.2628934863618607,0.17349891234763004,25756.26190895246,3525571.37828409,2198219.6831943253,1322884127889.0,6.454059033785693e+16,-75900682444.0
3,303.jpg,11726758,3191.8671651558434,255,0.5226699851818477,-0.10665659285347356,46054.108253758655,8615432.39919314,2888965.895625954,963463959844.0,3.5585104650372196e+16,53945408381.0
4,304.jpg,12613044,3225.4776390482075,255,0.2631638529264816,0.1621805546155903,64464.62371104796,3754906.272093209,2292864.9954936435,3750419560000.0,1.6424197917709472e+17,-111428914265.0
5,305.jpg,14252567,3223.856231285756,255,0.21799276235091614,0.025884930807809535,80220.81513357168,2756201.4454423594,2545416.3880922864,6274709373969.0,8.537031571220803e+16,-42395973767.0
6,306.jpg,13937234,3238.8386807619795,255,0.1220779032692968,0.05073380660468818,408915.53198777995,1898514.3099681428,2791987.21448504,12069329120836.0,4.7143721506366874e+17,-203879492624.0
7,307.jpg,12928753,3205.1794021552055,255,0.33212482896676576,-0.10865023964988411,47223.06288218875,3929117.2583774906,2836914.4141474296,3609205843681.0,6.837002353605648e+16,-30499135516.0
8,308.jpg,12622793,3237.0488102591225,255,0.19193170859618858,-0.0535193938015331,65529.63985497713,3108533.401708422,3169832.020553934,10803310611921.0,3.3689942992673715e+17,-152664456777.0
9,309.jpg,13339418,3239.856478302704,255,0.03255292109174723,0.2538962756177044,100119.26713836606,1235786.429693997,2426330.071272254,12125347729609.0,7.277188038940183e+17,-248873439417.0
